County,All Ages in Poverty Percent,Median Household Income,Average Life Expectancy
Alameda County (CA),12.8,72504.5,80.84585798816569
Allegheny County (PA),12.800000000000002,51033.33333333334,77.23613445378145
Ascension Parish (LA),11.983333333333334,67183.16666666669,78.4
Beaver County (PA),12.58333333333333,48246.66666666666,77.20399999999998
Butler County (PA),9.266666666666666,58961.66666666666,78.86744186046512
Contra Costa County (CA),10.633333333333333,77401.66666666669,80.81333333333333
East Baton Rouge Parish (LA),19.28333333333333,47202.33333333334,74.96543209876539
East Feliciana Parish (LA),20.483333333333334,41621.66666666666,76.0
Iberville Parish (LA),22.48333333333333,41200.5,74.02857142857142
Livingston Parish (LA),13.5,55066.66666666666,76.03999999999998
Marin County (CA),8.683333333333332,89711.83333333331,83.38823529411766
Napa County (CA),10.2,67022.5,81.33333333333334
Pointe Coupee Parish (LA),19.683333333333334,42038.66666666666,76.93333333333334
San Francisco County (CA),13.3,77263.0,81.78636363636367
San Mateo County (CA),7.866666666666666,89726.5,82.73947368421052
Santa Clara County (CA),9.9,91969.33333333331,82.653125
Solano County (CA),12.866666666666667,64286.66666666666,78.80112359550559
Sonoma County (CA),11.966666666666667,62297.0,80.59052631578948
St. Helena Parish (LA),23.71666666666667,34395.166666666664,74.75
Washington County (PA),10.616666666666667,53681.5,76.98596491228072
West Baton Rouge Parish (LA),16.633333333333333,49285.16666666666,76.62
West Feliciana Parish (LA),23.7,52030.5,77.15
Westmoreland County (PA),10.666666666666666,50185.0,77.95510204081634
